Small Cab,Q.ta,Link,,,,,,
,,,,,,,,
pulsante nero player 1 concavo IL PSL-H con microswitch generico,1,Bouton arcade noir Joueur 1 concave - IL PSL-H,"€ 2,00","€ 2,00",,,,
pulsante nero player 2 concavo IL PSL-H con microswitch generico,1,Bouton arcade noir Joueur 2 concave - IL PSL-H,"€ 2,00","€ 2,00",,,,
pulsante bianco player 1 concavo IL PSL-H con microswitch generico,1,Bouton arcade blanc Joueur 1 concave - IL PSL-H,"€ 2,00","€ 2,00",,,,
pulsante bianco player 2 concavo IL PSL-H con microswitch generico,1,Bouton arcade blanc Joueur 2 concave - IL PSL-H,"€ 2,00","€ 2,00",,,,
,,,,,,,,
"Joystick Sanwa JLF-TP-8YT con cavo 5 perni, palla gialla, stick lungo per legno",2,Joystick Sanwa JLF-TP-8YT,"€ 39,00","€ 78,00",,,,
,,,,,,,,
pulsante corto giallo convesso IL PSL-CV con microswitch generico,6,Bouton arcade court jaune vif convexe - IL PSL-CV,"€ 2,00","€ 12,00",,,,
pulsante corto verde convesso IL PSL-CV con microswitch generico,7,Bouton arcade court vert pomme convexe - IL PSL-CV,"€ 2,00","€ 14,00",,,,
,,,,,,,,
Amazon,,,,,"€ 112,00",,,
,,,,,,,,
Raspberry Pi 4 Modello B (4 GB),1,Raspberry Pi 4 Modello B (4GB),"€ 70,00","€ 70,00",,"NinkBox Raspberry Pi 4 Modello B Starter Kit, RPi Barebone 2GB RAM + ROM32GB, Alimentatore 5.1V / 3A con Interruttore, Ventola, dissipatore di calore, 2 cavi Micro HDMI","€ 89,00","Starter Kit con gia' microSD, dissipatori, alimentatoire, adattotore scheda"
Cavo USB C montaggio a pannello,1,"Duttek Cavo USB C per montaggio a pannello, su e giù, angolato da USB C maschio a femmina, per auto, barca, moto, camion, cruscotto, 30 cm","€ 15,00","€ 15,00",,https://www.amazon.it/dp/B07ZV9C6QF/ref=sspa_mw_detail_0?ie=UTF8&psc=1&sp_csd=d2lkZ2V0TmFtZT1zcF9waG9uZV9kZXRhaWwp13NParams&th=1,120,Starter kit 4gb
cavo MICRO HDMI - HDMI montaggio a pannello,1,"QIANRENON Micro HDMI 2.0 a HDMI 2.0 Fissaggio filettato Montaggio Impermeabile Cavo 4K Micro HDMI maschio a HDMI femmina auto estensione Cavo 4K@60Hz,per Phone fotocamere auto navigatori,30cm/11,8in : Amazon.it","€ 18,00","€ 18,00",,,,
Dissipatori in alluminio GeeekPi per Raspberry (set da 2),1,"GeeekPi Dissipatori di Calore per Raspberry Pi 4 Modello B, Raspberry Pi 4B Dissipatori di Alluminio con Nastro Adesivo Conduttivo Termico per Raspberry Pi 4B (Raspberry Pi Non è Inclusa)(2 Pack) : Amazon.it","€ 5,00","€ 5,00",,,,
Alimentatore USB C per raspberry,1,"RASPBERRY KSA-15E-051300HE, Alimentatore USB-C 5.1V 3A - Bianco - per Raspberry Pi 4 Modello B (1873421) : Amazon.it","€ 8,50","€ 8,50",,,,
Scheda microSDHC da 32 GB SanDisk,1,"SanDisk Extreme Pro Scheda di Memoria microSDHC da 32 GB e Adattatore SD con App Performance A1 e Rescue Pro Deluxe, fino a 100 MB/sec, Classe 10, UHS-I, U3, V30 : Amazon.it","€ 9,00","€ 9,00",,,,
set x2 Keyboard encoder con x10 cavi 4.8mm + 1 cavo 5pin joystick,1,"Fosiya Codificatore Arcade USB con Ritardo Zero da PC a Joystick per progetti Windows e Linux, MAME e Raspberry Pi Retropie (2 Player 5Pin Joystick + Happ Style Buttons) : Amazon.it","€ 19,00","€ 19,00",,,,
"doppio cavo USB montaggio a pannello ""Bolonking"" 1m",1,"baolonking, pannello di montaggio a filo con cavo USB da 1 m, dual USB 3.0, supporto per cruscotto, montaggio a incasso, per auto, barca, moto : Amazon.it","€ 13,00","€ 13,00",,,,
distanziatori raspberry e encoders. Quanti? Misure? Link,,,,,,,,
,,,,,,,,
Altro (opzionale),,,,,,,,
cavo HDMI 3m,1,"Amazon Basics - Cavo HDMI ad alta velocità di classe CL3, standard più recenti, 3 m, Nero","€ 9,00","€ 9,00",,,,
cavo audio jack 3.5mm maschio - maschio,1,"Gulemfy Cavo Aux, Audio Jack 3.5mm to Jack 3.5mm [2m] Hi-Fi Stereo da Maschio a Maschio, Compatibile per Cuffie, Macchina, Autoradio, iPhone, iPad, iPod, Smartphone, Laptop","€ 8,00","€ 8,00",,,,
,,,,,,,,
,,,,,,,,
Leroy Merlin,,,,,"€ 174,50",,,
,,,,,,,,
Viti svasate con dado e rondella M5,20,https://www.leroymerlin.it/prodotti/ferramenta/tasselli-viti-bulloni-chiodi/viti/vite-con-filettatura-metrica-testa-svasata-testa-piatta-in-acciaio-zincato-m5x50-mm-8-pezzi-82582789.html,"€ 0,27","€ 5,38",,,,
Viti svasate con dado e rondella M4,4,Vite con filettatura metrica testa svasata/testa piatta in acciaio zincato M4X20 mm | Leroy Merlin,"€ 1,80","€ 7,20",,,,
Viti testa piatta e dado M4,4,,"€ 1,80","€ 7,20",,,,
inserti filettati in ottone M4 per plastica da scaldare,4,"ruthex Inserto filettato 1/4"" - 20 pezzi RX-1/4“-20x12,7 - Boccola filettata in ottone -dado di inserimento per parti in plastica - utilizzabile in parti in plastica stampate in 3D tramite calore : Amazon.it: Fai da te","€ 0,20","€ 0,80",,,,
,,,,,,,,
,,,TOTALE,"€ 307,08","€ 20,58",,,
,,,,,,,,
,,,,,,,,
Versione box in legno MDF,,,,,,,,
Leroy Merlin,,,,,,,,
Pannello MDF 6mm 220mm x 270mm,1,Pannelli mdf | Leroy Merlin,"€ 4,00","€ 4,00",,,,
Pannello MDF 6mm 800mm x 229mm,1,Pannello mdf L 80 x H 60 cm Sp 10 mm marroncino | Leroy Merlin,"€ 4,00","€ 4,00",,,,
Pannello MDF 10mm 800mm x 250mm,1,,"€ 8,00","€ 8,00",,,,
Pannello MDF 6mm 800mm x 222mm,1,Pannello mdf L 80 x H 60 cm Sp 10 mm marroncino | Leroy Merlin,"€ 4,00","€ 4,00",,,,
,,,,,,,,
Stampa 3D,,,,,,,,
pannello posteriore,1,,,"€ 0,00",,,,
squadrette 90°,4,,,"€ 0,00",,,,
squadrette inclinate e specchiate (tutte diverse),4,,,"€ 0,00",,,,
,,,,,,,,
,,,TOTALE,"€ 327,08",,,,
,,,,,,,,
Versione IKEA,,,,,,,,
,,,,,,,,
Vattenkar,1,"VATTENKAR supporto per PC portatile/schermo, betulla, 52x26 cm - IKEA Italia","€ 27,00","€ 27,00",,,,
,,,,,,,,
,,,TOTALE,"€ 334,08",,,,
